Author-作者,Title-题名,Source-刊名,Year-年,Roll-卷,Period-期,PageCount-页码
张津梁,以“三个代表”重要思想为指导 切实维护广大职工合法权益——关于天水市维护职工合法权益情况的调查,中国工运,2004,,10,18-21
,地方工运文摘,中国工运,2004,,10,38-40
王丽 ;佟志红 ;佚名 ;王兴华 ;郭琛 ;章组生,组织起来 切实维权——全总领导深入基层调研、推进工会重点工作剪影,中国工运,2004,,10,2
周亚梅,试论工会如何在医院思想政治工作中发挥作用,中国卫生事业管理,2004,,9,560-561
,女工天地,兵团工运,2004,,2,22
刘勤,弱势群体是工会维权的重点,兵团工运,2004,,3,13
王泉胜,浅谈工会在劳动争议中的维权,兵团工运,2004,,4,8
王继安,工会工作如何适应形势的变化,兵团工运,2004,,4,11
严桂林,对工会“维护职工合法权益”的思考,兵团工运,2004,,5,14
陈登兰,工会依法维权的内涵及其实现途径,兵团工运,2004,,6,7
,工会经纬,兵团工运,2004,,7,26-27
意尚禄,浅谈正确认识和把握工会的基本职责,兵团工运,2004,,8,42
郭克利,对进一步加强劳动保障法制建设的几点思考,法学杂志,2004,,6,53-54
引玉,非公企业民主管理工作大有可为,工会博览,2004,,21,8月10日
陆平,万方西单商场为信息员颁发会员证,工会博览,2004,,21,53
,各地工讯,工会博览,2004,,21,74-76
常甘生,青海农民工 北京入工会——青海北京工会携手建立工作机制,工会博览,2004,,22,29
陈志良,努力做好新时期高校工会工作,集美大学学报(哲学社会科学版),2004,,3,1月4日
赵映林,邓小平工运理论体系的若干亮点,文史杂志,2004,,6,4月6日
丁敬如,维护非公企业员工合法权益的思考,政工研究动态,2004,,3,8
毛应建,为依法维权的新举措叫好,政工研究动态,2004,,16,11
倪士重 ;庄灵芝,鲍店煤矿工会“维权”超前一步,政工研究动态,2004,,Z1,36
刘玉方,当前工会维权面临的几个重要问题,中国党政干部论坛,2004,,11,31-32
,全国工会“12351”职工维权热线电话开通,中国工运,2004,,11,13
,部分地方工会“组织起来、切实维权”大调研报告论点摘编,中国工运,2004,,11,14-17
童凤华,加强工会维权能力建设需要处理好三个关系,中国工运,2004,,11,24
冯鸿志,面对SA8000的形势与挑战,中国职工教育,2004,,11,10月11日
孙玫贞,国企改制中工会维权职能的强化初探,工会论坛(山东省工会管理干部学院学报),2004,,6,5月6日
赖至诚,试论国有企业工会工作如何贯彻“三个代表”,工会论坛(山东省工会管理干部学院学报),2004,,6,12月13日
孙松,关于提高工会干部维权能力的几点思考,工会论坛(山东省工会管理干部学院学报),2004,,6,17-36
杨方,北京市建委工会针对女工特点 做好维权工作,工会博览,2004,,23,15-17
,安徽省总工会运用法律手段维权,工会博览,2004,,23,74
苗丰仁;钟祥斌;王健翎,非公有制企业工会工作活动方式的探索,工会理论与实践.中国工运学院学报,2004,,6,8月13日
陈继存,按照科学发展观要求创新工会工作,工会理论与实践.中国工运学院学报,2004,,6,38-39
李瑶,贯彻“三个代表”重要思想 创新发展高校工会工作,工会理论与实践.中国工运学院学报,2004,,6,67-69
李芸,西方集体谈判制度与我国工会维权职能,世界经济与政治论坛,2004,,6,91-92
赖颖璇,外企工会建设风暴压城,中国外资,2004,,12,26-28
李军,突出职能开创工会工作新局面——农八师一四七团工会侧记,兵团工运,2004,,10,23
全保,组织起来 切实维权 进一步做好工会保障工作——全国工会保障工作会议在广西召开,工会博览,2004,,24,4月5日
赵长树 ;郑海涛,"北京市顺义区总工会落实""三贴近"" 探索服务型工会新路子",工会博览,2004,,24,11月13日
权保,湖北省总工会 发挥优势 突出重点 努力做好工会保障工作,工会博览,2004,,24,26-28
张宝刚,"组织起来,切实维权中需要研究和解决的问题",北京市工会干部学院学报,2004,,3,4月8日
丁胜如,农民工权益保障机制的缺失与健全——兼谈工会组织的维权途径,北京市工会干部学院学报,2004,,3,9月14日
,学术动态,北京市工会干部学院学报,2004,,3,47
李惠斌,东北、华北工会院校工会理论教学研讨会2004年年会论文综述,北京市工会干部学院学报,2004,,3,60-62
张举;许民,对切实发挥基层工会作用的思考,北京市工会干部学院学报,2004,,4,4月7日
高大慧,对国有企业改制过程中工会作用的思考,北京市工会干部学院学报,2004,,4,8月11日
陈至英,论工会在政治文明建设中的重要作用,南昌教育学院学报,2004,,4,4月5日
李萌,市场失灵、组织缺位与农民工权益保护——制度经济学视角下城市农民工工资拖欠问题,社会主义研究,2004,,6,130-133
姜明 ;张春津,四怕令职工不敢主张权益,山东劳动保障,2004,,10,34-35
孙耀诚,科学发展观与工会工作,胜利油田党校学报,2004,,6,123-124
叶少雄,建立钢铁主业劳动保护长效机制的思考,武汉冶金管理干部学院学报,2004,,4,35-37
任晓莉,"多管齐下,保护农民工的权益",学习月刊,2004,,2,16-17
易重华,从欠薪看我国工会建设面临的历史转折,学习月刊,2004,,2,21-23
黄远志,以党的十六届四中全会精神为指导 切实加强工会工作的能力建设,中国工运,2004,,12,12月13日
易敏利,浅析新时期工会女工维权的现状和对策,中国职工教育,2004,,12,39-40
宋祥,"求真务实 切实维权 创新发展——黑龙江垦区各级工会努力打造工作""品牌""",中国农垦,2004,,12,37-38
姚定楷,发挥工会职能 加强师德建设——关于海南高校工会组织在师德建设中发挥作用的情况调研,海南广播电视大学学报,2004,,4,49-51
,"工会组织向民工送""维权卡""",四川劳动保障,2004,,3,29
李晋蓉,因他们的快乐而快乐,四川劳动保障,2004,,7,22-23
唐宇辉,非公有制企业女工劳动权益保护存在的问题及对策,科技情报开发与经济,2004,,12,334-336
任贤胜,从维护职工权益转向为职工争取权益——市场经济条件下我国工会的正确定位,社会,2004,,10,8月9日
曾煜,工会应关注灵活就业人员、进城务工人员的社会保险问题,天津市工会管理干部学院学报,2004,,4,24-28
牛凤兰,全力搞好工会维权工作,天津市工会管理干部学院学报,2004,,4,41-43
刘玉芳,维护职工合法权益 为职工办好事——农一师十二团工会维权工作纪实,兵团工运,2004,,12,38
盛华仁,进一步贯彻实施《劳动法》 切实维护劳动者的合法权益——在《劳动法》颁布十周年座谈会上的讲话,劳动保障通讯,2004,,8,4月5日
,《劳动法》颁布十周年:成就、问题及措施,劳动保障通讯,2004,,8,11月17日
,适应市场经济 加强工会维权——《北京市实施〈中华人民共和国工会法〉办法》贯彻落实尚有差距,北京观察,2004,,1,24-25
,《劳动保障监察条例》向劳动者走来,当代广西,2004,,22,26
韩光辉;,论教师合法权益的维护,安徽电子信息职业技术学院学报,2004,,1,31+30
,沈阳成立农民工工会,农村工作通讯,2004,,10,37
王连祥;,找准定位 有所作为,工会理论研究.上海工会管理干部学院学报,2004,,1,27-28
孙磊;,论建设高素质职工队伍的重大意义,工会理论研究.上海工会管理干部学院学报,2004,,2,10月12日
本刊评论员;,提高工会维权能力 夯实党的执政基础,工会理论研究(上海工会管理干部学院学报),2004,,5,1
吴申耀;,当前《工会法》实施中的问题及对策思考,工会理论研究(上海工会管理干部学院学报),2004,,5,34-36
刘瑛;,实施SA8000是工会工作的新机遇,工会理论研究.上海工会管理干部学院学报,2004,,6,17-18
陶七一;,全面加强工会维权机制建设,工会理论研究.上海工会管理干部学院学报,2004,,6,20-22
孙德华;,浅谈维护铁路职工权益的制度机制建设,工会理论研究.上海工会管理干部学院学报,2004,,6,25-26
江洪生;,切实抓好工会组建工作规范化建设,工会理论研究.上海工会管理干部学院学报,2004,,6,37-38
谭必元;,澳新两国工会工作的启示,工会理论研究.上海工会管理干部学院学报,2004,,6,46-47
,省委常委会听取省总关于企业改制过程中职工权益落实情况的汇报 俞正声强调工会必须维权,工友,2004,,7,4
曹旭峰;,株山村招商遭遇“工会问题”,工友,2004,,7,6月9日
武金琢;,基层工会工作要叫响“两句话”,工友,2004,,7,9
,省机冶建材行业工会成立,工友,2004,,7,19
崔武英;吴自立;,艰辛维权路 工会伴你行——湖北省总工会困难职工帮扶中心法律援助工作侧记,工友,2004,,7,39+38
李千宝;张红军;,"建会的目的,全在于维护——十堰市总工会强化基层工会维权职责",工友,2004,,9,8月9日
本刊编辑部;,《劳动保障监察条例》——工会维权又添利器,工友,2004,,11,1
赵宏刚;,提高四种能力 展示工会作为——铁路系统工会工作初探,工友,2004,,12,36-37
宋志康;,浅谈外资企业工会的组建与运作,工会理论研究.上海工会管理干部学院学报,2004,,3,15-16
马国蓉;,关爱进城务工人员的探索与实践,工会理论研究.上海工会管理干部学院学报,2004,,3,25+20
斯阳;,进城务工人员维权刍议,工会理论研究.上海工会管理干部学院学报,2004,,3,26-28
,黄远志强调“两突出一强化”重点工作,工友,2004,,1,6月7日
王勇;,机制乃维权之本——汉江集团公司工会工作纪实,工友,2004,,1,28-29
,全国总工会基层组织建设部发文 农民工输出地工会直接到输入地建立维权机构不妥,工友,2004,,2,5
程陆平;,出租车从业人员需要组织起来,工友,2004,,2,22-23
罗奎武;王强;陈明;,"创新,为企业腾飞加油——江汉石油管理局创新工会工作纪事",工友,2004,,4,18-19
黄仕典;,对深化维权机制建设的几点思考,工友,2004,,4,34-35
方建洲;,工会维权难点及对策,工友,2004,,10,32-33
谭必元;,澳、新两国工会工作之借鉴,工友,2004,,10,34-35
崔振章;,省机冶建材工会“国企改革考察调研团”赴皖、苏、沪、浙等地考察调研,工友,2004,,10,39
刘金川;,工会维权何时不再难?,公民导刊,2004,,11,21-23
,围绕青年挖潜能 助推业务促团建——农行六盘水分行共青团建设经验交流摘编,贵州农村金融,2004,,7,9月10日
李晋兵;,浅谈工会突出维护职能的实现途径,太原经济管理干部学院学报,2004,,S1,1月2日
戴泽宇;,"对“组织起来,切实维权”的思考",武钢政工,2004,,9,39-41
吴铎思;,为维权者维权——法律为厦门一公司工会主席讨公道,就业与保障,2004,,6,19
丛春华;胡雪梅;,维权报道——工人报的立身之本,新闻传播,2004,,3,40
彭兴庭;,"“工会刚性”不在,“权益刚性”何存",河北企业,2004,,8,42
向伟;,对深化农行工会维权机制建设的思考,湖北农村金融研究,2004,,10,64
李香华,探索社会化、法制化、职业化的工会维权新思路,中国工运,2005,,10,"""28-29"""
陈晶晶;,民工的“娘家”——义乌“工会维权”新模式纪实,江西农业科技,2005,,10,"""8-9"""
詹庆玲,二二三团工会维权与建设有机结合,兵团工运,2005,,9,"""6"""
翟继霞;冯莉;,工会维权与职工的生命安全健康,工会论坛(山东省工会管理干部学院学报),2005,,5,"""29"""
范维东;刘继芳;,加大高校工会维权力度 切实维护教职工的合法权益,工会论坛(山东省工会管理干部学院学报),2005,,5,"""39-40"""
王川卫;宋爱萍,新形势下油田企业工会维权工作面临的问题及对策,中国西部科技,2005,,15,"""49-50"""
沈光泽,新时期高校教育工会维权分析,工会论坛(山东省工会管理干部学院学报),2005,,4,"""36-37"""
肖辉平,国有企业工会维权几点认识,工会博览,2005,,13,"""36-37"""
王新雨,当前工会维权工作面临的形势和对策,天津市工会管理干部学院学报,2005,,2,"""28-30"""
张建民,"从提高工会的维权能力入手,推进工会的党的先进性建设",北京市工会干部学院学报,2005,,2,"""3-6"""
张宝刚,试论提高工会维权能力的方式与机制,北京市工会干部学院学报,2005,,2,"""7-10"""
赵映林,非公企业工会维权理论研究,北京市工会干部学院学报,2005,,2,"""24-26"""
城际间工会维权联动机制课题组,构建城际间工会维权联动机制的理性思考和对策措施——农民工系统组织维权新途径的实践与探索,中国劳动关系学院学报,2005,,3,"""1-7"""
黄河涛;赵健杰,论工会“维权”的发展趋势与对策,中国劳动关系学院学报,2005,,3,"""8-13"""
陈思伟 ;于明,关于在劳动关系变革中工会维权的若干问题,兵团工运,2005,,5,"""9"""
龚建林,浅析教育工会的维权职能,工会论坛(山东省工会管理干部学院学报),2005,,3,"""36-37"""
徐元俊;,试论高职学院人事制度改革中的工会维权,长春理工大学学报(综合版),2005,,2,"""35-36+47"""
,义乌工会维权模式的探索,领导决策信息,2005,,17,"""16-17"""
邹中玺,浅论工会维权社会化,中国工运,2005,,4,"""35"""
陈有德,关于建立工会社会化维权机制的实践探索与思考,中国劳动关系学院学报,2005,,2,"""1-7"""
高峰,用辩证的观点做好工会维权工作,石油化工管理干部学院学报,2005,,1,"""60-61"""
郑瑜玮,工会维权工作要努力发扬四种精神,胜利油田党校学报,2005,,2,"""117-118"""
张龙柱,影响工会维权职能发挥原因浅析,中共成都市委党校学报(哲学社会科学),2005,,1,"""23-24"""
孙秀荣,国企改制对工会维权的影响及对策,冶金企业文化,2005,,1,"""20-21"""
黄河涛;赵健杰,SA8000与工会维权策略,中国劳动关系学院学报,2005,,1,"""1-4"""
程蹊;陈全功,农民工维权组织的建立和作用效率的经济学分析——兼论工会的改革走向,工会论坛(山东省工会管理干部学院学报),2005,,1,"""6-8"""
张祥福,构建工会组织维权机制的若干思考,工会论坛(山东省工会管理干部学院学报),2005,,1,"""14-15"""
杜娟,新时期对石化企业工会维权的再认识,工会论坛(山东省工会管理干部学院学报),2005,,1,"""16-17"""
陈绍杰,略论政治文明与高校工会维权机制建设,工会论坛(山东省工会管理干部学院学报),2005,,1,"""46-47"""
李仕青;葛伟;钱聪慧,新形势下的非正规就业与工会维权,中国工运,2005,,1,"""37-38"""
张春梅;,工会维权工作创新思路,理论界,2005,,12,"""156"""
李秋玲;,一团工会围绕大局做好女职工维权工作,兵团工运,2005,,12,"""28"""
童爱农;,关于农民职工问题的调查与思考,北京市工会干部学院学报,2005,,4,"""19-22"""
张方琪;闵斌;,鹤峰工会介入成功维权追讨工程款十年未果,工友,2005,,12,"""21"""
林升华,做好高校工会维权工作的几点思考,发展研究,2005,,11,"""95-96"""
,加强机制建设 努力把工会维权工作落到实处,中国工运,2005,,11,"""29"""
吴永培;张彩萍;马华,完善工会组织领导下的维权机制,中国职工教育,2005,,11,"""14"""
本刊编辑部;,"“上善若水”,工会维权“事善能”——维权机制重在“平等协商”",工友,2005,,11,"""1"""
本刊编辑部;,三类人员将成为工会的重点维权对象,小康生活,2005,,11,"""59"""
浦兴祖,和谐小康社会呼唤工会的维权与民主功能,工会理论研究.上海工会管理干部学院学报,2005,,5,"""6-8"""
本刊编辑部,把全国工会维权机制建设经验交流会议精神贯彻落实好,中国工运,2005,,10,"""1"""
王兆国,在全国工会维权机制建设经验交流会议上的讲话,中国工运,2005,,10,"""4-6"""
张俊九,在全国工会维权机制建设经验交流会议结束时的讲话,中国工运,2005,,10,"""7-9+22"""
黄远志,走中国特色社会主义工会发展道路 不断推进工会维权工作创新,中国工运,2005,,10,"""12-13"""
王仓盛;,工会维权为何“腰杆”不硬——从一些工会干部“诉苦”引发的思考,工友,2005,,10,"""46-47"""
唐红妹,高校工会履行维权职责探讨,湖州职业技术学院学报,2005,,3,"""56-58"""
本刊编辑部,完善在工会组织领导下的维权机制,中国工运,2005,,9,"""1"""
,组织起来、切实维权 更好地发挥工会的职能作用——浙江省委书记习近平在义乌市调研工会工作时的讲话摘要,中国工运,2005,,9,"""4-5"""
,矿难后工会维权工作的思考,工会博览,2005,,17,"""4-5"""
李斌,建立健全维权帮扶机制 全面参与构建和谐社会——农四师工会职工维权帮扶工作情况介绍,兵团工运,2005,,8,"""4"""
,组织起来 切实维权——黄浦区董家渡社区工会,工会理论研究(上海工会管理干部学院学报),2005,,4,"""49"""
张瞳,维权路上的铺路石——记北京市三元集团工会主席宋春来,工会博览,2005,,15,"""35-37"""
沈琴琴;黄任民;高爱娣;王祎,进城务工人员在二元劳动力市场中的地位与工会的维权思路,中国劳动关系学院学报,2005,,4,"""1-8"""
本刊编辑部,创新工会工作 争取更大作为,兵团工运,2005,,7,"""1"""
广西梧州市总工会课题组,新时期工会维权工作新途径,中国职工教育,2005,,7,"""48"""
高萍,新时期高校工会工作简论,固原师专学报,2005,,4,"""119-121"""
,信息动态,兵团工运,2005,,6,"""36-37"""
薛如贵;,让法律成为维权的靠山,江淮,2005,,6,"""47"""
王产兴,回顾工会依法维权替职工打官司,兵团工运,2005,,5,"""8"""
袁洪府,提高职工代表素质是源头维护的基础,兵团工运,2005,,5,"""8"""
解文,整合资源 确保维权——京城机电控股公司工会全面启动专业委员会工作机制,工会博览,2005,,9,"""39-40"""
侯其彬,探索与健全工会依法维权机制,工会理论研究.上海工会管理干部学院学报,2005,,2,"""2-4"""
,解决好为工会主席维权问题,工会博览,2005,,8,"""4-5"""
叶培林;李纪平,做好非公有制企业工会维权工作,中国工运,2005,,4,"""24"""
刘辉,完善规范困难职工帮扶中心 努力构建工会维权工作平台,中国工运,2005,,4,"""28-29"""
王勤,再论工会的维权职能的突出和强化,工会论坛(山东省工会管理干部学院学报),2005,,2,"""15"""
陶七一,全面加强工会维权机制建设,中国工运,2005,,3,"""30-31"""
晓兰;,全国工会职工维权热线正式开通,党的建设,2005,,3,"""56"""
程蹊;陈全功,“民工荒”与民工维权组织的建立,农村经济,2005,,2,"""120-123"""
班宝东,浅议职工素质建设与工会维权,工会论坛(山东省工会管理干部学院学报),2005,,1,"""38"""
丁胜如,农民工权益保障机制的缺失与健全——谈工会组织的维权途径,调研世界,2005,,1,"""10-12+15"""
周启胜,工会劳动安全维权如何解题?,求实,2005,,S1,"""40-41"""
宗晓虹;,工会要帮助外来务工人员提高“维权素质”,中国工运,2005,,12,"""36+43"""
陈长法;,兖矿集团工会加强维权机制建设 构筑完善“四大维权体系”,中国职工教育,2005,,12,"""53"""
丁文清;黄永乐,拓展工会“柔性维权”的企业文化——福建省企业文化建设现状调研,中国职工教育,2005,,11,"""10-11"""
魏国;李玉红;杨志峰,构建新型危险化学品安全管理体制,中国安全科学学报,2005,,10,"""30-33+38+2"""
冯来周,职工精神文化权益维护之刍议,工会理论研究.上海工会管理干部学院学报,2005,,5,"""29-31"""
,信息超市,工友,2005,,10,"""44-45"""
苗立言,“八联手”:工会社会化维权机制的有效模式——大连开发区总工会构建社会化维权新机制的实践与探索,中国劳动关系学院学报,2005,,5,"""7-10"""
高爱娣,信阳外出务工人员工会联合会组织模式的特点和实践意义,中国劳动关系学院学报,2005,,5,"""15-19"""
陈常青,博赛建材公司工会理直气壮维权,兵团工运,2005,,9,"""7"""
沈君彬,农民工权益保障缺失:现状、根源、对策——以构建和谐社会为视角的解读,中共福建省委党校学报,2005,,9,"""61-64"""
吕明;,对工会履行维权职能的思考,工会论坛(山东省工会管理干部学院学报),2005,,5,"""28"""
王志平,三门峡市建起工会社会化维权体系,中国职工教育,2005,,9,"""43"""
刘志荣,加强工会监督与维权,四川劳动保障,2005,,8,"""29"""
郭文龙,构建与维权使命相适应的工会运作机制,工会理论研究(上海工会管理干部学院学报),2005,,4,"""8-10"""
宋儒亮;,现有法治框架与法律资源下中国医师维权路径的探讨,中国现代神经疾病杂志,2005,,4,"""284-286"""
陈世平,工会主席应做职工群众的维权人,兵团工运,2005,,7,"""5"""
阳安江,深入贯彻“组织起来、切实维权”工作方针坚持走中国特色社会主义工会发展道路,中国工运,2005,,7,"""11-12"""
王光;,工会盯住安全 重在监督维权,现代职业安全,2005,,7,"""38-39"""
张培珍,谈谈工会组织的维权能力建设,中共山西省委党校省直分校学报,2005,,2,"""37"""
张培珍,以科学发展观统领工会工作,中共山西省委党校学报,2005,,3,"""27-28"""
昝金华;,维权轨迹(之十三) 我给最后一个“苏联工会访华团”当地陪,工友,2005,,5,"""36-39"""
霍玉东,农一师阿拉尔市总工会加强依法维权,兵团工运,2005,,4,"""41"""
张卫建,抓好工会信息 履行维权职能,中国工运,2005,,4,"""38"""
刘珊,坚持科学发展观 不断提升工会工作创新水平,中国劳动关系学院学报,2005,,2,"""41-44"""
刘玉芳,"找准维权切入点 做好建家大文章——农一师十二团工会创建""全国模范职工之家""工作纪实",兵团工运,2005,,3,"""20-21"""
褚衍稳,“四型”工会组织及其创建刍议,工会论坛(山东省工会管理干部学院学报),2005,,2,"""12-13"""
全总大调研综合协调组,2004年全国工会“组织起来、切实维权”大调研总报告摘要,中国工运,2005,,3,"""17-20"""
秦中忠;秦美从;张青春,重视工会信访 做好维权工作,中国工运,2005,,3,"""36"""
龚友;,维权遭遇下岗，工会主席岂能沉默?,工友,2005,,3,"""19-23"""
赵蓓蓓,试谈如何搞好职工民主管理工作,兵团工运,2005,,1,"""18"""
马志忠;郝翠荣,国有企业改制中的职工维权工作与工会的职责,工会论坛(山东省工会管理干部学院学报),2005,,1,"""29-30"""
赵明;刘焜;张伟刚;,民工工会帮助外来务工者维权,新农村,2005,,1,"""28"""
本刊编辑部,坚持“组织起来、切实维权”工作方针进一步做好新形势下的工会工作,中国工运,2005,,1,"""3"""
张俊九,贯彻落实“组织起来、切实维权”工作方针努力开创新形势下工会工作的新局面(节选)——在全总十四届二次执委会议上的工作报告,中国工运,2005,,1,"""13-17"""
李子星;,关于德国工会及劳动关系现状的考察与思考(续),天津市工会管理干部学院学报,2005,,4,35-39
张维;,恩施州委书记汤涛到州总工会调研,工友,2005,,12,21
,2004年中国工会维护职工合法权益蓝皮书(摘要),人权,2005,,6,10月15日
陈继存;,做好新形势下的工会工作之我见,中国劳动关系学院学报,2005,,6,53-55
杜增祥;,夯实工会工作基础 加强基层工会建设,中国劳动关系学院学报,2005,,6,56-59
佟新,企业工会:能动的行动者——以北京中外合资企业B有限公司工会实践为例,江苏行政学院学报,2005,,5,63-68
林孟新 ;吴流河,“用好”三借法搞活工会劳动保护工作,安全与健康,2005,,19,35
孙延斐;,对高校工会发挥维护职能 处理好几个关系的思考,邵阳学院学报,2005,,5,160-161
,“网格”之花 街镇遍开——杨浦区总工会推进工会网格化工作掠影,工会理论研究.上海工会管理干部学院学报,2005,,5,53
李子星,关于德国工会及劳动关系现状的考察与思考,天津市工会管理干部学院学报,2005,,3,33-37
张云昊,增权:“农民工讨薪”案例的分析及其启示,青年研究,2005,,9,13-18
甘均良;,论新时期高校工会的维护职能,湖南医科大学学报(社会科学版),2005,,3,144-145
吴婧;,排除万难 推动工会组建,上海人大月刊,2005,,9,20
覃丽华,关于切实加强基层工会建设的建议,中国科技信息,2005,,17,310-311
杜长江,“成都模式”的启迪,中国工运,2005,,7,34
戴长林,要重视转制企业“股东工会主席”现象,中国职工教育,2005,,6,44
胡连生;奚雅丽,当代资本主义各国的劳工权利及其对我国的启示,长白学刊,2005,,3,25-28
沪侠,情系工会根植工会——谨以此文献给中华全国总工会成立80周年,兵团工运,2005,,5,7
魏中平,一二五团工会注重基层工会主席素质培养,兵团工运,2005,,5,40
,成都义乌两地工会联手为农民工办实事,中国职工教育,2005,,3,66
蒲庆忠,浅谈工会的基本职责,中国劳动关系学院学报,2005,,1,49-50
冯钢,SA8000标准与中国企业工会的“困境”,浙江社会科学,2005,,1,92-98
,猴年岁末 湖北工会盛会连连,工友,2005,,1,2
金波;,倾听也是关怀,企业家天地,2005,,12,55
何玉明;,新时期工会工作的三个转型,成都理工大学学报(社会科学版),2005,,4,95-97
李文娟;,奇台农场工会被职工称颂为职工之家,兵团工运,2005,,12,16
陈民;,信阳市总工会积极探索农民工双向维权机制,农村.农业.农民(B版)(三农中国),2005,,12,60-61+64
陈有德;,社会化维权及其维权网络建设,工会理论研究.上海工会管理干部学院学报,2005,,6,12月13日
吴红星;,关于非公企业职工维权机制建设的思考,工会理论研究.上海工会管理干部学院学报,2005,,6,25-27
王慧民;,创新工会组织形式的理论依据和路径选择,北京市工会干部学院学报,2005,,4,8月11日
崔长圃;,如何从源头上解决拖欠农民工工资问题,建筑市场与招标投标,2005,,6,41-43
张瞳;,外资企业工会工作的探索者——记北京外资企业工会联合会主席郭松,工会博览,2005,,24,30-32
陈民;,适应形势发展 探索创新农民工双向维权,中国工运,2005,,12,7月8日
,重要工作动态,中国工运,2005,,12,14-16
,地方工运文摘,中国工运,2005,,12,39-40
李瑶;李星;刘松年;鲁大安;,高校工会干部应强化六种意识,华中农业大学学报(社会科学版),2005,,Z1,168-170+180
周银才;,油田新经济模式中工会维护问题的再认识,中国劳动关系学院学报,2005,,6,60-63
本刊编辑部;,《中国劳动关系学院学报》2005年总目录,中国劳动关系学院学报,2005,,6,122-125
彭荣 ;曹秀玲,农民工权益在这里得到体现,兵团工运,2005,,11,41
王晓丽 ;夏良华 ;杨志华,十六团工会群众性安全工作强化“三个创新”,兵团工运,2005,,10,6
陈淑芬,茂名坚持走中国特色社会主义工会发展道路的实践与探索,南方论刊,2005,,10,6月9日
,铸造交通建设新工人,工会理论研究.上海工会管理干部学院学报,2005,,5,23-24
,来稿摘登,中国工运,2005,,10,41-42
吴昌农;,把维权工作落实到基层班组的调查与思考,武钢政工,2005,,10,21-23
黄占育,关注高校劳务工入会的瓶颈难题,福建农林大学学报(哲学社会科学版),2005,,4,81-83
张秀萍,北京市总工会助理员工作呈现新特色,工会博览,2005,,19,37-38
王刚生,工会要在企业改革改制中发挥积极作用,中国劳动关系学院学报,2005,,5,57-59
张为忠,浅谈改革与维权的统一性,中国劳动关系学院学报,2005,,5,62-63
黄耀革,探索创新工会理论 推进和谐社会建设——全国工会学研究会2005年年会暨第21次全国工会学理论教学讨论会会议综述,中国劳动关系学院学报,2005,,5,127-131
中国社会科学院赴浙江调研组,落实科学发展观、构建和谐社会正在深入人心——在浙江省部分地区调研情况的报告,社会科学管理与评论,2005,,3,26-32
杨海风,农一师工会及时传达贯彻兵团工会工作现场会精神,兵团工运,2005,,9,4
杨建新 ;张子茂,四十五团工会挂钩基层显成效,兵团工运,2005,,9,6
吕东锋,四十七团党政工联系会议办实事,兵团工运,2005,,9,8
姜红,咱职工的贴心人——记八团工会主席史自敏,兵团工运,2005,,9,22
,奎垦之声,兵团工运,2005,,9,36-37
李自立,关于规范和强化工会财务工作的几点思考,中国工会财会,2005,,9,10月11日
胡明生,准确把握劳动和劳动价值理论应当特别重视的基本问题,长沙民政职业技术学院学报,2005,,3,71-73
刘海波;,在企业改制分流中强化职代会的作用,石油化工管理干部学院学报,2005,,3,14-16
,黄冈市委出台《关于进一步加强工会工作的意见》,工友,2005,,9,5
,中铁电气化局集团公司工会,工会博览,2005,,17,2
方和荣;叶云;闫永平,校务公开是高校民主管理的重要制度,中北大学学报(社会科学版),2005,,4,73-75
雷佑新;雷红,论农民工劳动合同缺失的成因及解决思路,经济体制改革,2005,,4,101-104
张艳,认真学习《决议》精神 努力提升工会工作水平,中国工运,2005,,8,13-14
刘振岭,提高维权水平 力求四个创新,中国职工教育,2005,,8,55-56
李燕,举三方合力 促集体协商——东城区推进三方协商机制建设有力度,工会博览,2005,,15,40-41
,解决突出问题 稳定职工队伍,瞭望新闻周刊,2005,,31,1
张毓余,协调劳动关系构建和谐社会,中国劳动关系学院学报,2005,,4,24-25
郭松;巩军,在对外开放的前沿构筑和谐社会——北京外资企业工会工作调查报告,中国劳动关系学院学报,2005,,4,35-40
杨晓智,主辅分离改制分流中工会作用的研究,中国劳动关系学院学报,2005,,4,41-44
,妇女权益保障法律法规知识竞赛试题,兵团工运,2005,,7,28-32
邓志和,工会工作的动力在于不断创新,石油政工研究,2005,,4,43-44
梁世山,提高企业工会干部组织、协调、维护能力的思考,工会论坛(山东省工会管理干部学院学报),2005,,4,9月10日
曹昭骞,对新形势下履行维护职能的几点思考,工会论坛(山东省工会管理干部学院学报),2005,,4,12
王成义;王存亭,新形势下的企业工会工作之我见,工会论坛(山东省工会管理干部学院学报),2005,,4,24-25
于光洪;孙现林;金朝辉,浅谈工会加强自身能力建设,工会论坛(山东省工会管理干部学院学报),2005,,4,26
郝玲华,用科学发展观指导工会工作,工会论坛(山东省工会管理干部学院学报),2005,,4,27
李钢华,在构建和谐社会中探索工会工作创新,中国职工教育,2005,,7,37-38
,乐凯集团第二胶片厂,中国职工教育,2005,,7,66-67
谭立独;,"建工会,一个出租车司机的追求——北京出租车司机董昕积极筹建工会的传奇故事",工友,2005,,7,5月9日
金子,我省各地关爱农民工典型扫描,今日浙江,2005,,13,24-25
,密云县总工会大力提升工作执行力,工会博览,2005,,13,2
石剑华,加强修养 立足本职 抓好维权,兵团工运,2005,,6,4
于永桥,浅谈加强连队工会组织建设,兵团工运,2005,,6,14
